id,text,media_id,chat_id,channel_name,grouped_id
12816,"**🤦‍♂️**** Снова пропустил момент?

**Только что** **Gladiators выиграли с коэффициентом **Х10 в LIVE**, а ты не поставил на финал с [BetBoom?](https://bonus.betboom.app/)

🔠 Время еще есть! Получи бонус до **7000₽** за [регистрацию](https://bonus.betboom.app/) и ставь, не рискуя своими деньгами! 

**Забирай бонус и ТАЩИ ****👇**",media/media_image_-1001054735798_5283249720921279783.jpg,-1001054735798,Dota2,-1
12815,"**⚡️**** Gladiators 1-0 Liquid

**Дурачье и компания забирают первую карту, отыграв 15к нетворса. Очередные 3-0 для Gladiators, или все таки ждем камбэк от ""Жидких""?

@Dota2",,-1001054735798,Dota2,-1
12814,"**⚔️ Драфты первой карты Гранд-Финала

**Ждем невероятную борьбу и 5 карт в финале!

@Dota2",media/media_image_-1001054735798_5284983118182337067.jpg,-1001054735798,Dota2,-1
